x1,y
Area_Rooftop_Commercial,0.0
Area_Rooftop_Residential,0.0
Biomass,0.0
Hardcoal,0.0
H2,0.0
Gas_Natural,0.0
Nuclear,0.0
Oil,0.0
Power,0.0
Mobility_Freight,0.0
Mobility_Passenger,0.0
Lignite,0.0
Gas_Bio,0.0
Gas_Synth,0.0
Heat_Low_Residential,0.0
Heat_Low_Industrial,0.0
Heat_Medium_Industrial,0.0
Heat_High_Industrial,0.0
Biofuel,0.0
Powerfuel,0.0
LNG,0.0
LBG,0.0
LSG,0.0
LH2,0.0
Air,0.0
DAC_Dummy,0.0
ETS,0.0
ETS_Source,0.0
Heat_District,0.0
