Region,Fuel,Year,Value,Variable
EE,Mobility_Freight,2018,26.593435284314857,Fuel Costs in MEUR/PJ
ES,Mobility_Freight,2018,38.02107061846009,Fuel Costs in MEUR/PJ
FI,Mobility_Freight,2018,21.29110741954652,Fuel Costs in MEUR/PJ
FR,Mobility_Freight,2018,36.069883463356376,Fuel Costs in MEUR/PJ
GR,Mobility_Freight,2018,38.548356657624225,Fuel Costs in MEUR/PJ
HR,Mobility_Freight,2018,32.68289358189809,Fuel Costs in MEUR/PJ
HU,Mobility_Freight,2018,20.821536754949676,Fuel Costs in MEUR/PJ
IE,Mobility_Freight,2018,39.097325329886566,Fuel Costs in MEUR/PJ
IT,Mobility_Freight,2018,23.10491247873803,Fuel Costs in MEUR/PJ
LT,Mobility_Freight,2018,21.831531093753476,Fuel Costs in MEUR/PJ
LU,Mobility_Freight,2018,35.693964703987426,Fuel Costs in MEUR/PJ
LV,Mobility_Freight,2018,22.54124911042689,Fuel Costs in MEUR/PJ
NL,Mobility_Freight,2018,28.75771293490622,Fuel Costs in MEUR/PJ
NO,Mobility_Freight,2018,22.590018902925692,Fuel Costs in MEUR/PJ
PL,Mobility_Freight,2018,32.20085097482536,Fuel Costs in MEUR/PJ
PT,Mobility_Freight,2018,35.440562761721715,Fuel Costs in MEUR/PJ
RO,Mobility_Freight,2018,18.49933582076588,Fuel Costs in MEUR/PJ
SE,Mobility_Freight,2018,21.093027040861074,Fuel Costs in MEUR/PJ
SI,Mobility_Freight,2018,30.027721017177065,Fuel Costs in MEUR/PJ
SK,Mobility_Freight,2018,20.787010960100734,Fuel Costs in MEUR/PJ
TR,Mobility_Freight,2018,32.83485772400973,Fuel Costs in MEUR/PJ
UK,Mobility_Freight,2018,23.674664731947047,Fuel Costs in MEUR/PJ
NONEU_Balkan,Mobility_Freight,2018,32.90149277500346,Fuel Costs in MEUR/PJ
AT,Mobility_Passenger,2018,17.514541133758883,Fuel Costs in MEUR/PJ
BE,Mobility_Passenger,2018,18.861074630132624,Fuel Costs in MEUR/PJ
BG,Mobility_Passenger,2018,19.492478665419142,Fuel Costs in MEUR/PJ
CH,Mobility_Passenger,2018,17.735573977755816,Fuel Costs in MEUR/PJ
CZ,Mobility_Passenger,2018,17.558427731324894,Fuel Costs in MEUR/PJ
DE,Mobility_Passenger,2018,18.465807161411785,Fuel Costs in MEUR/PJ
DK,Mobility_Passenger,2018,13.05250746260917,Fuel Costs in MEUR/PJ
EE,Mobility_Passenger,2018,19.55557047780331,Fuel Costs in MEUR/PJ
ES,Mobility_Passenger,2018,18.71358508891433,Fuel Costs in MEUR/PJ
FI,Mobility_Passenger,2018,13.17420822708068,Fuel Costs in MEUR/PJ
FR,Mobility_Passenger,2018,18.403938816533984,Fuel Costs in MEUR/PJ
GR,Mobility_Passenger,2018,19.70487614813548,Fuel Costs in MEUR/PJ
HR,Mobility_Passenger,2018,19.516732147074425,Fuel Costs in MEUR/PJ
HU,Mobility_Passenger,2018,12.762204253501091,Fuel Costs in MEUR/PJ
IE,Mobility_Passenger,2018,19.435612678787813,Fuel Costs in MEUR/PJ
IT,Mobility_Passenger,2018,13.074869897556097,Fuel Costs in MEUR/PJ
LT,Mobility_Passenger,2018,19.886554706221307,Fuel Costs in MEUR/PJ
LU,Mobility_Passenger,2018,19.311001390751223,Fuel Costs in MEUR/PJ
LV,Mobility_Passenger,2018,19.64843075633153,Fuel Costs in MEUR/PJ
NL,Mobility_Passenger,2018,18.318353652978896,Fuel Costs in MEUR/PJ
NO,Mobility_Passenger,2018,13.08094188790432,Fuel Costs in MEUR/PJ
PL,Mobility_Passenger,2018,18.747388075242192,Fuel Costs in MEUR/PJ
PT,Mobility_Passenger,2018,19.327399164276834,Fuel Costs in MEUR/PJ
RO,Mobility_Passenger,2018,12.967724092716272,Fuel Costs in MEUR/PJ
SE,Mobility_Passenger,2018,12.830272762244881,Fuel Costs in MEUR/PJ
SI,Mobility_Passenger,2018,19.746365164217778,Fuel Costs in MEUR/PJ
SK,Mobility_Passenger,2018,12.905278273655611,Fuel Costs in MEUR/PJ
TR,Mobility_Passenger,2018,18.577350477105483,Fuel Costs in MEUR/PJ
UK,Mobility_Passenger,2018,12.78579273119886,Fuel Costs in MEUR/PJ
NONEU_Balkan,Mobility_Passenger,2018,19.7246948658121,Fuel Costs in MEUR/PJ
AT,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
BE,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
BG,Lignite,2018,2.3246656378600825,Fuel Costs in MEUR/PJ
CH,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
CZ,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
DE,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
DK,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
EE,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
ES,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
FI,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
FR,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
GR,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
HR,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
HU,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
IE,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
IT,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
LT,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
LU,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
LV,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
NL,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
NO,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
PL,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
PT,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
RO,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
SE,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
SI,Lignite,2018,2.3246656378600825,Fuel Costs in MEUR/PJ
SK,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
TR,Lignite,2018,2.3246656378600825,Fuel Costs in MEUR/PJ
UK,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
NONEU_Balkan,Lignite,2018,2.324665637860082,Fuel Costs in MEUR/PJ
AT,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
BE,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
BG,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
CH,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
CZ,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
DE,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
DK,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
EE,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
ES,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
FI,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
FR,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
GR,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
HR,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
HU,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
IE,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
IT,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
LT,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
LU,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
LV,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
NL,Gas_Bio,2018,9.982295782395097,Fuel Costs in MEUR/PJ
NO,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
PL,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
PT,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
RO,Gas_Bio,2018,9.982295782395093,Fuel Costs in MEUR/PJ
SE,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
SI,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
SK,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
TR,Gas_Bio,2018,9.925155994213862,Fuel Costs in MEUR/PJ
UK,Gas_Bio,2018,9.982295782395095,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Bio,2018,9.982295782395092,Fuel Costs in MEUR/PJ
AT,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
BE,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
BG,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
CH,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
CZ,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
DE,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
DK,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
EE,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
ES,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
FI,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
FR,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
GR,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
HR,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
HU,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
IE,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
IT,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
LT,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
LU,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
LV,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
NL,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
NO,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
PL,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
PT,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
RO,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
SE,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
SI,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
SK,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
TR,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
UK,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Synth,2018,166.6970511157706,Fuel Costs in MEUR/PJ
AT,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
BE,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
BG,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
CH,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
CZ,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
DE,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
DK,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
EE,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
ES,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
FI,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
FR,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
GR,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
HR,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
HU,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
IE,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
IT,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
LT,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
LU,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
LV,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
NL,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
NO,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
PL,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
PT,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
RO,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
SE,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
SI,Biofuel,2018,8.129017924977488,Fuel Costs in MEUR/PJ
SK,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
TR,Biofuel,2018,8.097182900133655,Fuel Costs in MEUR/PJ
UK,Biofuel,2018,8.129017924977486,Fuel Costs in MEUR/PJ
NONEU_Balkan,Biofuel,2018,8.129017924977484,Fuel Costs in MEUR/PJ
AT,Biomass,2025,4.022037975171502,Fuel Costs in MEUR/PJ
BE,Biomass,2025,4.022037975171503,Fuel Costs in MEUR/PJ
BG,Biomass,2025,4.022037975171503,Fuel Costs in MEUR/PJ
CH,Biomass,2025,4.022037975171502,Fuel Costs in MEUR/PJ
CZ,Biomass,2025,4.022037975171501,Fuel Costs in MEUR/PJ
DE,Biomass,2025,4.022037975171503,Fuel Costs in MEUR/PJ
DK,Biomass,2025,4.022037975171503,Fuel Costs in MEUR/PJ
EE,Biomass,2025,4.022037975171502,Fuel Costs in MEUR/PJ
ES,Biomass,2025,4.022037975171502,Fuel Costs in MEUR/PJ
FI,Biomass,2025,4.022037975171502,Fuel Costs in MEUR/PJ
FR,Biomass,2025,4.022037975171503,Fuel Costs in MEUR/PJ
