x1,x2,x3,x4,x5,y
MT_FRT_SHIP_CONV,5780,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,AT,Mobility_Passenger,2018,1.8987861987129342
MT_PSNG_RAIL,7704,AT,Mobility_Passenger,2018,0.5689372405824232
MT_PSNG_AIR,7704,AT,Mobility_Passenger,2018,0.2652505897918075
MT_PSNG_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.029313635168276453
MT_PSNG_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.4645335378131691
MT_PSNG_AIR_RE,7704,AT,Mobility_Passenger,2018,0.029313635168276453
MT_PSNG_ROAD_CONV,7704,AT,Mobility_Passenger,2018,1.8987861987129344
MT_PSNG_RAIL_CONV,7704,AT,Mobility_Passenger,2018,0.1337173379375306
MT_PSNG_AIR_CONV,7704,AT,Mobility_Passenger,2018,0.2652505897918075
MT_FRT_ROAD,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,8,BE,Mobility_Passenger,2018,13.924769633048548
MT_PSNG_RAIL,8,BE,Mobility_Passenger,2018,11.654566307956799
MT_PSNG_AIR,8,BE,Mobility_Passenger,2018,11.610431301849825
MT_PSNG_ROAD_RE,8,BE,Mobility_Passenger,2018,11.32318960102013
MT_PSNG_RAIL_RE,8,BE,Mobility_Passenger,2018,11.62300514304837
MT_PSNG_AIR_RE,8,BE,Mobility_Passenger,2018,11.32318960102013
MT_PSNG_ROAD_CONV,8,BE,Mobility_Passenger,2018,13.924769633048548
MT_PSNG_RAIL_CONV,8,BE,Mobility_Passenger,2018,11.354750765928559
MT_PSNG_AIR_CONV,8,BE,Mobility_Passenger,2018,11.610431301849825
MT_FRT_ROAD,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,BE,Mobility_Passenger,2018,0.0
