x1,x2,y
Z_ETS_Buy,AT,0.0
Z_ETS_Sell,AT,0.0
Z_Import_Gas,AT,2039.5167996874727
Z_Import_H2,AT,0.0
Z_Import_Hardcoal,AT,1073.8077457789564
Z_Import_LNG,AT,0.0
Z_Import_Oil,AT,0.14149960391396535
Infeasibility_Power,AT,0.0
Infeasibility_HLI,AT,0.0
Infeasibility_HMI,AT,0.0
Infeasibility_HHI,AT,0.0
Infeasibility_HRI,AT,0.0
Infeasibility_Mob_Passenger,AT,3106.864563783996
Infeasibility_Mob_Freight,AT,2575.2668791738492
A_Air,BE,0.0
A_Rooftop_Commercial,BE,14.353726920696818
A_Rooftop_Residential,BE,0.0
CHP_Biomass_Solid,BE,794.602032342414
CHP_Biomass_Solid_CCS,BE,0.0
CHP_Coal_Hardcoal,BE,3.2464126814540557
CHP_Coal_Hardcoal_CCS,BE,0.0
CHP_Coal_Lignite,BE,0.0
CHP_Coal_Lignite_CCS,BE,0.0
CHP_Gas_CCGT_Biogas,BE,0.0
CHP_Gas_CCGT_Biogas_CCS,BE,0.0
CHP_Gas_CCGT_Natural,BE,167.83580860628044
CHP_Gas_CCGT_Natural_CCS,BE,0.0
CHP_Gas_CCGT_SynGas,BE,354.2381455011682
CHP_Hydrogen_FuelCell,BE,1205.9797614804372
CHP_Oil,BE,0.0
D_Battery_Li-Ion,BE,963.3997134348432
D_Battery_Redox,BE,0.0
D_CAES,BE,0.0
D_Gas_H2,BE,603.3273144634818
D_Gas_Methane,BE,0.0
D_Heat_HLI,BE,0.0
D_Heat_HLR,BE,0.0
D_PHS,BE,0.0
FRT_Rail_Conv,BE,7.47094121000343
FRT_Rail_Electric,BE,50.04075530398949
FRT_Road_BEV,BE,0.0
FRT_Road_H2,BE,0.0
FRT_Road_ICE,BE,148.12755041068533
FRT_Road_LNG,BE,0.0
FRT_Road_OH,BE,71.612979512442
FRT_Road_PHEV,BE,0.0
FRT_Ship_Bio,BE,1.521856951343612
FRT_Ship_Conv,BE,47.22372715458959
FRT_Ship_LNG,BE,0.0
HLI_Convert_DH,BE,679.7922998571959
HLR_Convert_DH,BE,683.7265931301688
HHI_BF_BOF,BE,818.9918473152443
HHI_BF_BOF_CCS,BE,0.0
HHI_Bio_BF_BOF,BE,312.69931435559886
HHI_DRI_EAF,BE,103.94589663607978
HHI_DRI_EAF_CCS,BE,0.0
HHI_H2DRI_EAF,BE,0.0
HHI_Molten_Electrolysis,BE,0.0
HHI_Scrap_EAF,BE,2214.643212415222
HLI_Biomass,BE,60.00945604795154
HLI_Direct_Electric,BE,17.765045534375417
HLI_Fuelcell,BE,0.0
HLI_Gas_Boiler,BE,61.50476869809534
HLI_Geothermal,BE,0.0
HLI_H2_Boiler,BE,57.1287078578153
HLI_Hardcoal,BE,6.788653804800002
HLI_Lignite,BE,0.0
HLI_Oil_Boiler,BE,0.0
HLI_Solar_Thermal,BE,94.18312686639709
HLR_Biomass,BE,152.63499686400004
HLR_Direct_Electric,BE,3322.0492402588916
HLR_Gas_Boiler,BE,2906.070624573853
HLR_Geothermal,BE,0.0
HLR_H2_Boiler,BE,693.5377013038196
HLR_Hardcoal,BE,22.152904704
