x1,x2,y
2018,AT,144.1887518329144
2025,AT,28.442170880479907
2030,AT,25.22073056681782
2035,AT,5.286402479712599
2040,AT,5.630505028768505
2045,AT,6.466068099437734
2050,AT,4.251911216456976
2018,BE,147.52696740049356
2025,BE,236.4742718831889
2030,BE,267.1214750766515
2035,BE,354.9948464247459
2040,BE,309.5091711866987
2045,BE,237.47289891454443
2050,BE,167.73154216087235
2018,BG,288.39891775753523
2025,BG,196.77675003837444
2030,BG,306.29897295672
2035,BG,174.8175726819773
2040,BG,399.1016664371141
2045,BG,114.26408098112991
2050,BG,58.846167447975795
2018,CH,113.58015150539097
2025,CH,22.30374890942052
2030,CH,17.811888523417842
2035,CH,6.632552479634659
2040,CH,15.844488039089446
2045,CH,22.238830202577205
2050,CH,22.983127932602418
2018,CZ,123.73803634557295
2025,CZ,38.85203913407942
2030,CZ,28.435125152383996
2035,CZ,9.240095923072124
2040,CZ,3.7028274012547997
2045,CZ,3.060486580636723
2050,CZ,1.5201650252400194
2018,DE,1233.1846872172384
2025,DE,677.6353952543377
2030,DE,1153.4714081570166
2035,DE,775.4354482395811
2040,DE,719.8835678036105
2045,DE,604.1617553074855
2050,DE,593.1020210391611
2018,DK,53.857298243249524
2025,DK,15.379655817325611
2030,DK,9.756903463453575
2035,DK,14.444124030316502
2040,DK,62.78106946142484
2045,DK,37.18381205965129
2050,DK,39.55322438858923
2018,EE,16.86293733558317
2025,EE,5.64905747915872
2030,EE,3.480258409894697
2035,EE,0.35727175381120035
2040,EE,6.872263794447091
2045,EE,13.582325235478448
2050,EE,0.17927988469745088
2018,ES,709.175579944228
2025,ES,128.38122135679754
2030,ES,90.37053802378682
2035,ES,70.35047251934907
2040,ES,112.32926096766174
2045,ES,76.82816307177843
2050,ES,119.30815458025877
2018,FI,20.69885985948873
2025,FI,4.066753963510349
2030,FI,26.409421286375494
2035,FI,66.42472290302297
2040,FI,42.917545528544494
2045,FI,42.62945399862936
2050,FI,81.9836098016993
2018,FR,854.1303831819598
2025,FR,1020.5490029356796
2030,FR,1868.5739207615609
2035,FR,1156.675356050456
2040,FR,1223.4887346269443
2045,FR,1059.8054182458764
2050,FR,678.1015662216569
2018,GR,114.2711076949265
2025,GR,248.83401350240433
2030,GR,16.142673511218774
2035,GR,1.8599251388900346
2040,GR,1.2294778228488958
2045,GR,1.2135073311082178
2050,GR,1.2358074027608645
2018,HR,29.70482255627072
2025,HR,12.323839806853691
2030,HR,39.43177297520749
2035,HR,51.75544025444528
2040,HR,55.6055232783253
2045,HR,0.8095802790230332
2050,HR,0.31717499272439104
2018,HU,0.24720799898558246
2025,HU,1.2302145937925975
2030,HU,4.610791464928067
2035,HU,3.0554865896348042
2040,HU,23.49683079517644
2045,HU,1.1545119718076515
2050,HU,1.1648801834863967
2018,IE,41.62406479724967
2025,IE,39.74966862915016
2030,IE,12.347425083254443
2035,IE,9.125523902202378
2040,IE,23.297334757552456
2045,IE,17.76463589440325
2050,IE,7.429271353832785
2018,IT,0.7404675739503102
2025,IT,203.8197122081646
2030,IT,1349.0039096561259
