x1,x2,x3,x4,x5,y
MT_FRT_SHIP_RE,5780,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,AT,Mobility_Passenger,2018,1.8987861987129342
MT_PSNG_RAIL,7704,AT,Mobility_Passenger,2018,0.4813824165751101
MT_PSNG_AIR,7704,AT,Mobility_Passenger,2018,0.24069120828755505
MT_PSNG_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.34766507863757956
MT_PSNG_AIR_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,7704,AT,Mobility_Passenger,2018,1.8452992635379222
MT_PSNG_RAIL_CONV,7704,AT,Mobility_Passenger,2018,0.1337173379375306
MT_PSNG_AIR_CONV,7704,AT,Mobility_Passenger,2018,0.24069120828755505
MT_FRT_ROAD,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,7704,AT,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,7704,AT,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,8,BE,Mobility_Passenger,2018,11.780144313060077
MT_PSNG_RAIL,8,BE,Mobility_Passenger,2018,1.3089049236733419
MT_PSNG_AIR,8,BE,Mobility_Passenger,2018,1.3089049236733419
MT_PSNG_ROAD_RE,8,BE,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,8,BE,Mobility_Passenger,2018,0.8726032824488945
MT_PSNG_AIR_RE,8,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,8,BE,Mobility_Passenger,2018,11.343842671835631
MT_PSNG_RAIL_CONV,8,BE,Mobility_Passenger,2018,0.29086776081629817
MT_PSNG_AIR_CONV,8,BE,Mobility_Passenger,2018,1.3089049236733419
MT_FRT_ROAD,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,8,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,8,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,BE,Mobility_Passenger,2018,52.74535897797419
MT_PSNG_RAIL,1932,BE,Mobility_Passenger,2018,5.860595441997131
MT_PSNG_AIR,1932,BE,Mobility_Passenger,2018,5.860595441997131
MT_PSNG_ROAD_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,1932,BE,Mobility_Passenger,2018,3.9070636279980877
MT_PSNG_AIR_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,1932,BE,Mobility_Passenger,2018,50.79182716397514
MT_PSNG_RAIL_CONV,1932,BE,Mobility_Passenger,2018,1.3023545426660292
MT_PSNG_AIR_CONV,1932,BE,Mobility_Passenger,2018,5.860595441997131
MT_FRT_ROAD,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,BE,Mobility_Passenger,2018,0.0
