x1,x2,x3,x4,y
2030,3856,Hardcoal,AT,0.0
2035,3856,Hardcoal,AT,0.0
2040,3856,Hardcoal,AT,0.0
2045,3856,Hardcoal,AT,0.0
2050,3856,Hardcoal,AT,0.0
2018,5780,Hardcoal,AT,0.0
2025,5780,Hardcoal,AT,0.0
2030,5780,Hardcoal,AT,0.0
2035,5780,Hardcoal,AT,0.0
2040,5780,Hardcoal,AT,0.0
2045,5780,Hardcoal,AT,0.0
2050,5780,Hardcoal,AT,0.0
2018,7704,Hardcoal,AT,0.0
2025,7704,Hardcoal,AT,0.0
2030,7704,Hardcoal,AT,0.0
2035,7704,Hardcoal,AT,0.0
2040,7704,Hardcoal,AT,0.0
2045,7704,Hardcoal,AT,0.0
2050,7704,Hardcoal,AT,0.0
2018,8,H2,AT,0.0
