x1;x2;x3;y;;x1;x2;x3;y;diff;
2035;CHP_Hydrogen_FuelCell;EE;0;;2035;CHP_Hydrogen_FuelCell;EE;0;0;#DIV/0!
2040;CHP_Hydrogen_FuelCell;EE;0;;2040;CHP_Hydrogen_FuelCell;EE;0;0;#DIV/0!
2045;CHP_Hydrogen_FuelCell;EE;0;;2045;CHP_Hydrogen_FuelCell;EE;0;0;#DIV/0!
2050;CHP_Hydrogen_FuelCell;EE;0;;2050;CHP_Hydrogen_FuelCell;EE;0;0;#DIV/0!
2018;CHP_Oil;EE;0;;2018;CHP_Oil;EE;0;0;#DIV/0!
2025;CHP_Oil;EE;0;;2025;CHP_Oil;EE;0;0;#DIV/0!
2030;CHP_Oil;EE;0;;2030;CHP_Oil;EE;0;0;#DIV/0!
2035;CHP_Oil;EE;0;;2035;CHP_Oil;EE;0;0;#DIV/0!
2040;CHP_Oil;EE;0;;2040;CHP_Oil;EE;0;0;#DIV/0!
2045;CHP_Oil;EE;0;;2045;CHP_Oil;EE;0;0;#DIV/0!
2050;CHP_Oil;EE;0;;2050;CHP_Oil;EE;0;0;#DIV/0!
2018;D_Battery_Li-Ion;EE;0;;2018;D_Battery_Li-Ion;EE;0;0;#DIV/0!
2025;D_Battery_Li-Ion;EE;0;;2025;D_Battery_Li-Ion;EE;0;0;#DIV/0!
2030;D_Battery_Li-Ion;EE;0;;2030;D_Battery_Li-Ion;EE;0;0;#DIV/0!
2035;D_Battery_Li-Ion;EE;2,017364509;;2035;D_Battery_Li-Ion;EE;0,291904217;1,725460292;86%
2040;D_Battery_Li-Ion;EE;2,017364509;;2040;D_Battery_Li-Ion;EE;0;2,017364509;100%
2045;D_Battery_Li-Ion;EE;1,247611466;;2045;D_Battery_Li-Ion;EE;0;1,247611466;100%
2050;D_Battery_Li-Ion;EE;0;;2050;D_Battery_Li-Ion;EE;0;0;#DIV/0!
2018;D_Battery_Redox;EE;0;;2018;D_Battery_Redox;EE;0;0;#DIV/0!
2025;D_Battery_Redox;EE;0;;2025;D_Battery_Redox;EE;0;0;#DIV/0!
2030;D_Battery_Redox;EE;0;;2030;D_Battery_Redox;EE;0;0;#DIV/0!
2035;D_Battery_Redox;EE;0;;2035;D_Battery_Redox;EE;0;0;#DIV/0!
2040;D_Battery_Redox;EE;0;;2040;D_Battery_Redox;EE;0;0;#DIV/0!
2045;D_Battery_Redox;EE;0;;2045;D_Battery_Redox;EE;0;0;#DIV/0!
2050;D_Battery_Redox;EE;0;;2050;D_Battery_Redox;EE;0;0;#DIV/0!
2018;D_CAES;EE;0;;2018;D_CAES;EE;0;0;#DIV/0!
2025;D_CAES;EE;0;;2025;D_CAES;EE;0;0;#DIV/0!
2030;D_CAES;EE;0;;2030;D_CAES;EE;0;0;#DIV/0!
2035;D_CAES;EE;0;;2035;D_CAES;EE;0;0;#DIV/0!
2040;D_CAES;EE;0;;2040;D_CAES;EE;0;0;#DIV/0!
2045;D_CAES;EE;0;;2045;D_CAES;EE;0;0;#DIV/0!
2050;D_CAES;EE;0;;2050;D_CAES;EE;0;0;#DIV/0!
2018;D_Gas_H2;EE;0;;2018;D_Gas_H2;EE;0;0;#DIV/0!
2025;D_Gas_H2;EE;0,436251849;;2025;D_Gas_H2;EE;0,04253017;0,393721679;90%
2030;D_Gas_H2;EE;1,609493031;;2030;D_Gas_H2;EE;3,750083717;-2,140590686;-133%
2035;D_Gas_H2;EE;1,868793011;;2035;D_Gas_H2;EE;3,717471052;-1,848678041;-99%
2040;D_Gas_H2;EE;1,870154943;;2040;D_Gas_H2;EE;3,720880866;-1,850725923;-99%
2045;D_Gas_H2;EE;1,870154943;;2045;D_Gas_H2;EE;3,661127987;-1,790973045;-96%
2050;D_Gas_H2;EE;4,51387745;;2050;D_Gas_H2;EE;4,337817361;0,176060089;4%
2018;D_Gas_Methane;EE;0;;2018;D_Gas_Methane;EE;0;0;#DIV/0!
2025;D_Gas_Methane;EE;0;;2025;D_Gas_Methane;EE;0;0;#DIV/0!
2030;D_Gas_Methane;EE;0;;2030;D_Gas_Methane;EE;0;0;#DIV/0!
2035;D_Gas_Methane;EE;0;;2035;D_Gas_Methane;EE;0;0;#DIV/0!
2040;D_Gas_Methane;EE;0;;2040;D_Gas_Methane;EE;0;0;#DIV/0!
2045;D_Gas_Methane;EE;0;;2045;D_Gas_Methane;EE;0;0;#DIV/0!
2050;D_Gas_Methane;EE;0;;2050;D_Gas_Methane;EE;0;0;#DIV/0!
2018;D_Heat_HLI;EE;0;;2018;D_Heat_HLI;EE;0;0;#DIV/0!
2025;D_Heat_HLI;EE;0;;2025;D_Heat_HLI;EE;0;0;#DIV/0!
2030;D_Heat_HLI;EE;0;;2030;D_Heat_HLI;EE;0;0;#DIV/0!
2035;D_Heat_HLI;EE;0;;2035;D_Heat_HLI;EE;0;0;#DIV/0!
2040;D_Heat_HLI;EE;0;;2040;D_Heat_HLI;EE;0;0;#DIV/0!
2045;D_Heat_HLI;EE;0;;2045;D_Heat_HLI;EE;0;0;#DIV/0!
2050;D_Heat_HLI;EE;0;;2050;D_Heat_HLI;EE;0;0;#DIV/0!
2018;D_Heat_HLR;EE;0;;2018;D_Heat_HLR;EE;0;0;#DIV/0!
2025;D_Heat_HLR;EE;0;;2025;D_Heat_HLR;EE;0;0;#DIV/0!
2030;D_Heat_HLR;EE;0;;2030;D_Heat_HLR;EE;0;0;#DIV/0!
2035;D_Heat_HLR;EE;0;;2035;D_Heat_HLR;EE;0;0;#DIV/0!
2040;D_Heat_HLR;EE;0;;2040;D_Heat_HLR;EE;0,118435243;-0,118435243;#DIV/0!
2045;D_Heat_HLR;EE;0;;2045;D_Heat_HLR;EE;0,978420163;-0,978420163;#DIV/0!
2050;D_Heat_HLR;EE;0;;2050;D_Heat_HLR;EE;0,837057222;-0,837057222;#DIV/0!
2018;D_PHS;EE;0;;2018;D_PHS;EE;0;0;#DIV/0!
2025;D_PHS;EE;0;;2025;D_PHS;EE;0;0;#DIV/0!
2030;D_PHS;EE;0;;2030;D_PHS;EE;0;0;#DIV/0!
2035;D_PHS;EE;0;;2035;D_PHS;EE;0;0;#DIV/0!
2040;D_PHS;EE;0;;2040;D_PHS;EE;0;0;#DIV/0!
2045;D_PHS;EE;0;;2045;D_PHS;EE;0;0;#DIV/0!
2050;D_PHS;EE;0;;2050;D_PHS;EE;0;0;#DIV/0!
2018;FRT_Rail_Conv;EE;0,771968213;;2018;FRT_Rail_Conv;EE;0,094526717;0,677441497;88%
2025;FRT_Rail_Conv;EE;0,378106867;;2025;FRT_Rail_Conv;EE;0,094526717;0,283580151;75%
2030;FRT_Rail_Conv;EE;0,378106867;;2030;FRT_Rail_Conv;EE;0,094526717;0,283580151;75%
2035;FRT_Rail_Conv;EE;0,378106867;;2035;FRT_Rail_Conv;EE;0,094526717;0,283580151;75%
2040;FRT_Rail_Conv;EE;0,378106867;;2040;FRT_Rail_Conv;EE;0,094526717;0,283580151;75%
2045;FRT_Rail_Conv;EE;0;;2045;FRT_Rail_Conv;EE;0;0;#DIV/0!
2050;FRT_Rail_Conv;EE;0;;2050;FRT_Rail_Conv;EE;0;0;#DIV/0!
2018;FRT_Rail_Electric;EE;2,018993789;;2018;FRT_Rail_Electric;EE;0,247223721;1,771770068;88%
2025;FRT_Rail_Electric;EE;2,70882181;;2025;FRT_Rail_Electric;EE;0,283464537;2,425357272;90%
2030;FRT_Rail_Electric;EE;2,803319626;;2030;FRT_Rail_Electric;EE;0,291178644;2,512140982;90%
2035;FRT_Rail_Electric;EE;2,963663521;;2035;FRT_Rail_Electric;EE;0,298969893;2,664693629;90%
2040;FRT_Rail_Electric;EE;3,147030238;;2040;FRT_Rail_Electric;EE;0,33712271;2,809907528;89%
2045;FRT_Rail_Electric;EE;3,669328262;;2045;FRT_Rail_Electric;EE;0,449305486;3,220022775;88%
2050;FRT_Rail_Electric;EE;3,158561817;;2050;FRT_Rail_Electric;EE;0,474025703;2,684536114;85%
2018;FRT_Road_BEV;EE;0;;2018;FRT_Road_BEV;EE;0;0;#DIV/0!
2025;FRT_Road_BEV;EE;0;;2025;FRT_Road_BEV;EE;0;0;#DIV/0!
2030;FRT_Road_BEV;EE;0;;2030;FRT_Road_BEV;EE;0;0;#DIV/0!
2035;FRT_Road_BEV;EE;0;;2035;FRT_Road_BEV;EE;0;0;#DIV/0!
2040;FRT_Road_BEV;EE;0;;2040;FRT_Road_BEV;EE;0;0;#DIV/0!
2045;FRT_Road_BEV;EE;0;;2045;FRT_Road_BEV;EE;0;0;#DIV/0!
2050;FRT_Road_BEV;EE;0;;2050;FRT_Road_BEV;EE;0;0;#DIV/0!
2018;FRT_Road_H2;EE;0;;2018;FRT_Road_H2;EE;0;0;#DIV/0!
2025;FRT_Road_H2;EE;0;;2025;FRT_Road_H2;EE;0;0;#DIV/0!
2030;FRT_Road_H2;EE;0;;2030;FRT_Road_H2;EE;0;0;#DIV/0!
2035;FRT_Road_H2;EE;0;;2035;FRT_Road_H2;EE;0;0;#DIV/0!
2040;FRT_Road_H2;EE;0;;2040;FRT_Road_H2;EE;0;0;#DIV/0!
2045;FRT_Road_H2;EE;0;;2045;FRT_Road_H2;EE;0;0;#DIV/0!
2050;FRT_Road_H2;EE;0;;2050;FRT_Road_H2;EE;0;0;#DIV/0!
2018;FRT_Road_ICE;EE;3,147255024;;2018;FRT_Road_ICE;EE;0,385378153;2,76187687;88%
2025;FRT_Road_ICE;EE;1,788047325;;2025;FRT_Road_ICE;EE;0,385378153;1,402669171;78%
2030;FRT_Road_ICE;EE;1,004486857;;2030;FRT_Road_ICE;EE;0,385378153;0,619108703;62%
2035;FRT_Road_ICE;EE;0;;2035;FRT_Road_ICE;EE;0,385378153;-0,385378153;#DIV/0!
2040;FRT_Road_ICE;EE;0;;2040;FRT_Road_ICE;EE;0;0;#DIV/0!
2045;FRT_Road_ICE;EE;0;;2045;FRT_Road_ICE;EE;0;0;#DIV/0!
2050;FRT_Road_ICE;EE;0;;2050;FRT_Road_ICE;EE;0;0;#DIV/0!
2018;FRT_Road_LNG;EE;0;;2018;FRT_Road_LNG;EE;0;0;#DIV/0!
2025;FRT_Road_LNG;EE;0;;2025;FRT_Road_LNG;EE;0;0;#DIV/0!
2030;FRT_Road_LNG;EE;0;;2030;FRT_Road_LNG;EE;0;0;#DIV/0!
2035;FRT_Road_LNG;EE;0;;2035;FRT_Road_LNG;EE;0;0;#DIV/0!
2040;FRT_Road_LNG;EE;0;;2040;FRT_Road_LNG;EE;0;0;#DIV/0!
2045;FRT_Road_LNG;EE;0;;2045;FRT_Road_LNG;EE;0;0;#DIV/0!
2050;FRT_Road_LNG;EE;0;;2050;FRT_Road_LNG;EE;0;0;#DIV/0!
2018;FRT_Road_OH;EE;0;;2018;FRT_Road_OH;EE;0;0;#DIV/0!
2025;FRT_Road_OH;EE;0,818981078;;2025;FRT_Road_OH;EE;0,008041315;0,810939762;99%
2030;FRT_Road_OH;EE;1,590713247;;2030;FRT_Road_OH;EE;0,008041315;1,582671932;99%
2035;FRT_Road_OH;EE;2,956181498;;2035;FRT_Road_OH;EE;0,008041315;2,948140183;100%
2040;FRT_Road_OH;EE;3,002543435;;2040;FRT_Road_OH;EE;0,367701364;2,634842072;88%
2045;FRT_Road_OH;EE;3,002177669;;2045;FRT_Road_OH;EE;0,36761358;2,634564089;88%
2050;FRT_Road_OH;EE;3,714825886;;2050;FRT_Road_OH;EE;0,36761358;3,347212306;90%
2018;FRT_Road_PHEV;EE;0;;2018;FRT_Road_PHEV;EE;0;0;#DIV/0!
2025;FRT_Road_PHEV;EE;0,605897363;;2025;FRT_Road_PHEV;EE;0;0,605897363;100%
2030;FRT_Road_PHEV;EE;0,58622639;;2030;FRT_Road_PHEV;EE;0;0,58622639;100%
2035;FRT_Road_PHEV;EE;0,12852963;;2035;FRT_Road_PHEV;EE;0;0,12852963;100%
2040;FRT_Road_PHEV;EE;0,000351136;;2040;FRT_Road_PHEV;EE;0;0,000351136;100%
2045;FRT_Road_PHEV;EE;0;;2045;FRT_Road_PHEV;EE;0;0;#DIV/0!
2050;FRT_Road_PHEV;EE;0;;2050;FRT_Road_PHEV;EE;0;0;#DIV/0!
2018;FRT_Ship_Bio;EE;0;;2018;FRT_Ship_Bio;EE;0;0;#DIV/0!
2025;FRT_Ship_Bio;EE;0;;2025;FRT_Ship_Bio;EE;0;0;#DIV/0!
2030;FRT_Ship_Bio;EE;0;;2030;FRT_Ship_Bio;EE;0;0;#DIV/0!
2035;FRT_Ship_Bio;EE;0;;2035;FRT_Ship_Bio;EE;0;0;#DIV/0!
2040;FRT_Ship_Bio;EE;0;;2040;FRT_Ship_Bio;EE;0;0;#DIV/0!
2045;FRT_Ship_Bio;EE;0;;2045;FRT_Ship_Bio;EE;0;0;#DIV/0!
2050;FRT_Ship_Bio;EE;0;;2050;FRT_Ship_Bio;EE;0;0;#DIV/0!
2018;FRT_Ship_Conv;EE;0;;2018;FRT_Ship_Conv;EE;0;0;#DIV/0!
2025;FRT_Ship_Conv;EE;0;;2025;FRT_Ship_Conv;EE;0;0;#DIV/0!
2030;FRT_Ship_Conv;EE;0;;2030;FRT_Ship_Conv;EE;0;0;#DIV/0!
2035;FRT_Ship_Conv;EE;0;;2035;FRT_Ship_Conv;EE;0;0;#DIV/0!
2040;FRT_Ship_Conv;EE;0;;2040;FRT_Ship_Conv;EE;0;0;#DIV/0!
2045;FRT_Ship_Conv;EE;0;;2045;FRT_Ship_Conv;EE;0;0;#DIV/0!
2050;FRT_Ship_Conv;EE;0;;2050;FRT_Ship_Conv;EE;0;0;#DIV/0!
2018;FRT_Ship_LNG;EE;0;;2018;FRT_Ship_LNG;EE;0;0;#DIV/0!
2025;FRT_Ship_LNG;EE;0;;2025;FRT_Ship_LNG;EE;0;0;#DIV/0!
2030;FRT_Ship_LNG;EE;0;;2030;FRT_Ship_LNG;EE;0;0;#DIV/0!
2035;FRT_Ship_LNG;EE;0;;2035;FRT_Ship_LNG;EE;0;0;#DIV/0!
2040;FRT_Ship_LNG;EE;0;;2040;FRT_Ship_LNG;EE;0;0;#DIV/0!
2045;FRT_Ship_LNG;EE;0;;2045;FRT_Ship_LNG;EE;0;0;#DIV/0!
2050;FRT_Ship_LNG;EE;0;;2050;FRT_Ship_LNG;EE;0;0;#DIV/0!
2018;HLI_Convert_DH;EE;0,62229495;;2018;HLI_Convert_DH;EE;0,541032556;0,081262394;13%
2025;HLI_Convert_DH;EE;0,286680955;;2025;HLI_Convert_DH;EE;0,232506025;0,05417493;19%
2030;HLI_Convert_DH;EE;0,250210167;;2030;HLI_Convert_DH;EE;0,048164344;0,202045823;81%
2035;HLI_Convert_DH;EE;0,250210167;;2035;HLI_Convert_DH;EE;0,048164344;0,202045823;81%
2040;HLI_Convert_DH;EE;0,229490311;;2040;HLI_Convert_DH;EE;0,096328688;0,133161623;58%
2045;HLI_Convert_DH;EE;0,170645589;;2045;HLI_Convert_DH;EE;0,083227637;0,087417952;51%
2050;HLI_Convert_DH;EE;0,236705942;;2050;HLI_Convert_DH;EE;0,116253012;0,12045293;51%
2018;HLR_Convert_DH;EE;8,461750251;;2018;HLR_Convert_DH;EE;8,57010011;-0,108349859;-1%
2025;HLR_Convert_DH;EE;3,042590594;;2025;HLR_Convert_DH;EE;2,007701035;1,034889559;34%
2030;HLR_Convert_DH;EE;0,125105083;;2030;HLR_Convert_DH;EE;0,048164344;0,076940739;62%
2035;HLR_Convert_DH;EE;0,125105083;;2035;HLR_Convert_DH;EE;0;0,125105083;100%
2040;HLR_Convert_DH;EE;0;;2040;HLR_Convert_DH;EE;0;0;#DIV/0!
2045;HLR_Convert_DH;EE;0;;2045;HLR_Convert_DH;EE;0;0;#DIV/0!
2050;HLR_Convert_DH;EE;0,849125159;;2050;HLR_Convert_DH;EE;0,164417357;0,684707802;81%
2018;HHI_BF_BOF;EE;0,484049368;;2018;HHI_BF_BOF;EE;0,484049368;0;0%
2025;HHI_BF_BOF;EE;0;;2025;HHI_BF_BOF;EE;0;0;#DIV/0!
2030;HHI_BF_BOF;EE;0;;2030;HHI_BF_BOF;EE;0;0;#DIV/0!
2035;HHI_BF_BOF;EE;0;;2035;HHI_BF_BOF;EE;0;0;#DIV/0!
2040;HHI_BF_BOF;EE;0;;2040;HHI_BF_BOF;EE;0;0;#DIV/0!
2045;HHI_BF_BOF;EE;0;;2045;HHI_BF_BOF;EE;0;0;#DIV/0!
2050;HHI_BF_BOF;EE;0;;2050;HHI_BF_BOF;EE;0;0;#DIV/0!
2018;HHI_BF_BOF_CCS;EE;0;;2018;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2025;HHI_BF_BOF_CCS;EE;0;;2025;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2030;HHI_BF_BOF_CCS;EE;0;;2030;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2035;HHI_BF_BOF_CCS;EE;0;;2035;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2040;HHI_BF_BOF_CCS;EE;0;;2040;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2045;HHI_BF_BOF_CCS;EE;0;;2045;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2050;HHI_BF_BOF_CCS;EE;0;;2050;HHI_BF_BOF_CCS;EE;0;0;#DIV/0!
2018;HHI_Bio_BF_BOF;EE;0;;2018;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2025;HHI_Bio_BF_BOF;EE;0;;2025;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2030;HHI_Bio_BF_BOF;EE;0;;2030;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2035;HHI_Bio_BF_BOF;EE;0;;2035;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2040;HHI_Bio_BF_BOF;EE;0;;2040;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2045;HHI_Bio_BF_BOF;EE;0;;2045;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2050;HHI_Bio_BF_BOF;EE;0;;2050;HHI_Bio_BF_BOF;EE;0;0;#DIV/0!
2018;HHI_DRI_EAF;EE;0,024724224;;2018;HHI_DRI_EAF;EE;0,024724224;0;0%
2025;HHI_DRI_EAF;EE;0;;2025;HHI_DRI_EAF;EE;0;0;#DIV/0!
2030;HHI_DRI_EAF;EE;0;;2030;HHI_DRI_EAF;EE;0;0;#DIV/0!
2035;HHI_DRI_EAF;EE;0;;2035;HHI_DRI_EAF;EE;0;0;#DIV/0!
2040;HHI_DRI_EAF;EE;0;;2040;HHI_DRI_EAF;EE;0;0;#DIV/0!
2045;HHI_DRI_EAF;EE;0;;2045;HHI_DRI_EAF;EE;0;0;#DIV/0!
2050;HHI_DRI_EAF;EE;0;;2050;HHI_DRI_EAF;EE;0;0;#DIV/0!
2018;HHI_DRI_EAF_CCS;EE;0;;2018;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2025;HHI_DRI_EAF_CCS;EE;0;;2025;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2030;HHI_DRI_EAF_CCS;EE;0;;2030;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2035;HHI_DRI_EAF_CCS;EE;0;;2035;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2040;HHI_DRI_EAF_CCS;EE;0;;2040;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2045;HHI_DRI_EAF_CCS;EE;0;;2045;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2050;HHI_DRI_EAF_CCS;EE;0;;2050;HHI_DRI_EAF_CCS;EE;0;0;#DIV/0!
2018;HHI_H2DRI_EAF;EE;0;;2018;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2025;HHI_H2DRI_EAF;EE;0;;2025;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2030;HHI_H2DRI_EAF;EE;0;;2030;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2035;HHI_H2DRI_EAF;EE;0;;2035;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2040;HHI_H2DRI_EAF;EE;0;;2040;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2045;HHI_H2DRI_EAF;EE;0;;2045;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2050;HHI_H2DRI_EAF;EE;0;;2050;HHI_H2DRI_EAF;EE;0;0;#DIV/0!
2018;HHI_Molten_Electrolysis;EE;0;;2018;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2025;HHI_Molten_Electrolysis;EE;0;;2025;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2030;HHI_Molten_Electrolysis;EE;0;;2030;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2035;HHI_Molten_Electrolysis;EE;0;;2035;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2040;HHI_Molten_Electrolysis;EE;0;;2040;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2045;HHI_Molten_Electrolysis;EE;0;;2045;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2050;HHI_Molten_Electrolysis;EE;0;;2050;HHI_Molten_Electrolysis;EE;0;0;#DIV/0!
2018;HHI_Scrap_EAF;EE;1,249411187;;2018;HHI_Scrap_EAF;EE;1,249411187;0;0%
2025;HHI_Scrap_EAF;EE;1,111994935;;2025;HHI_Scrap_EAF;EE;1,111994935;0;0%
2030;HHI_Scrap_EAF;EE;0,961867626;;2030;HHI_Scrap_EAF;EE;0,961867626;0;0%
2035;HHI_Scrap_EAF;EE;0,873208692;;2035;HHI_Scrap_EAF;EE;0,873208692;0;0%
2040;HHI_Scrap_EAF;EE;0,818492061;;2040;HHI_Scrap_EAF;EE;0,818492061;0;0%
2045;HHI_Scrap_EAF;EE;0,781041423;;2045;HHI_Scrap_EAF;EE;0,781041423;0;0%
2050;HHI_Scrap_EAF;EE;0,752755208;;2050;HHI_Scrap_EAF;EE;0,752755208;0;0%
2018;HLI_Biomass;EE;0,669857604;;2018;HLI_Biomass;EE;0,696945068;-0,027087465;-4%
2025;HLI_Biomass;EE;0,315429717;;2025;HLI_Biomass;EE;0,301213288;0,014216429;5%
2030;HLI_Biomass;EE;0,071570209;;2030;HLI_Biomass;EE;0;0,071570209;100%
2035;HLI_Biomass;EE;0,061192454;;2035;HLI_Biomass;EE;0;0,061192454;100%
2040;HLI_Biomass;EE;0,024724224;;2040;HLI_Biomass;EE;0,024724224;0;0%
2045;HLI_Biomass;EE;0,004944845;;2045;HLI_Biomass;EE;0,004944845;0;0%
2050;HLI_Biomass;EE;0;;2050;HLI_Biomass;EE;0;0;#DIV/0!
2018;HLI_Direct_Electric;EE;0;;2018;HLI_Direct_Electric;EE;0;0;#DIV/0!
2025;HLI_Direct_Electric;EE;0,038486239;;2025;HLI_Direct_Electric;EE;0,052702668;-0,014216429;-37%
2030;HLI_Direct_Electric;EE;0,025960435;;2030;HLI_Direct_Electric;EE;0,025960435;0;0%
2035;HLI_Direct_Electric;EE;0,012980218;;2035;HLI_Direct_Electric;EE;0,012980218;0;0%
2040;HLI_Direct_Electric;EE;0;;2040;HLI_Direct_Electric;EE;0;0;#DIV/0!
2045;HLI_Direct_Electric;EE;0;;2045;HLI_Direct_Electric;EE;0;0;#DIV/0!
2050;HLI_Direct_Electric;EE;0;;2050;HLI_Direct_Electric;EE;0;0;#DIV/0!
2018;HLI_Fuelcell;EE;0;;2018;HLI_Fuelcell;EE;0;0;#DIV/0!
2025;HLI_Fuelcell;EE;0;;2025;HLI_Fuelcell;EE;0;0;#DIV/0!
2030;HLI_Fuelcell;EE;0;;2030;HLI_Fuelcell;EE;0;0;#DIV/0!
2035;HLI_Fuelcell;EE;0;;2035;HLI_Fuelcell;EE;0;0;#DIV/0!
2040;HLI_Fuelcell;EE;0;;2040;HLI_Fuelcell;EE;0;0;#DIV/0!
2045;HLI_Fuelcell;EE;0;;2045;HLI_Fuelcell;EE;0;0;#DIV/0!
2050;HLI_Fuelcell;EE;0;;2050;HLI_Fuelcell;EE;0;0;#DIV/0!
2018;HLI_Gas_Boiler;EE;0,088472084;;2018;HLI_Gas_Boiler;EE;0,142647013;-0,05417493;-61%
2025;HLI_Gas_Boiler;EE;0;;2025;HLI_Gas_Boiler;EE;0;0;#DIV/0!
2030;HLI_Gas_Boiler;EE;0,031354202;;2030;HLI_Gas_Boiler;EE;0,094742491;-0,063388289;-202%
2035;HLI_Gas_Boiler;EE;0,027111028;;2035;HLI_Gas_Boiler;EE;0,080121563;-0,053010535;-196%
2040;HLI_Gas_Boiler;EE;0,040536887;;2040;HLI_Gas_Boiler;EE;0,021678214;0,018858673;47%
2045;HLI_Gas_Boiler;EE;0,065519194;;2045;HLI_Gas_Boiler;EE;0,032759597;0,032759597;50%
2050;HLI_Gas_Boiler;EE;0;;2050;HLI_Gas_Boiler;EE;0;0;#DIV/0!
2018;HLI_Geothermal;EE;0;;2018;HLI_Geothermal;EE;0;0;#DIV/0!
2025;HLI_Geothermal;EE;0;;2025;HLI_Geothermal;EE;0;0;#DIV/0!
2030;HLI_Geothermal;EE;0;;2030;HLI_Geothermal;EE;0;0;#DIV/0!
2035;HLI_Geothermal;EE;0;;2035;HLI_Geothermal;EE;0;0;#DIV/0!
2040;HLI_Geothermal;EE;0;;2040;HLI_Geothermal;EE;0;0;#DIV/0!
2045;HLI_Geothermal;EE;0;;2045;HLI_Geothermal;EE;0;0;#DIV/0!
2050;HLI_Geothermal;EE;0;;2050;HLI_Geothermal;EE;0;0;#DIV/0!
2018;HLI_H2_Boiler;EE;0;;2018;HLI_H2_Boiler;EE;0;0;#DIV/0!
2025;HLI_H2_Boiler;EE;0,619071151;;2025;HLI_H2_Boiler;EE;0,673246081;-0,05417493;-9%
2030;HLI_H2_Boiler;EE;0,855149116;;2030;HLI_H2_Boiler;EE;1,065376858;-0,210227742;-25%
2035;HLI_H2_Boiler;EE;0,861666249;;2035;HLI_H2_Boiler;EE;1,071893991;-0,210227742;-24%
2040;HLI_H2_Boiler;EE;0,88216537;;2040;HLI_H2_Boiler;EE;1,034185666;-0,152020296;-17%
2045;HLI_H2_Boiler;EE;0,912843419;;2045;HLI_H2_Boiler;EE;1,033020968;-0,120177549;-13%
2050;HLI_H2_Boiler;EE;1,085097189;;2050;HLI_H2_Boiler;EE;1,205550118;-0,12045293;-11%
2018;HLI_Hardcoal;EE;0;;2018;HLI_Hardcoal;EE;0;0;#DIV/0!
2025;HLI_Hardcoal;EE;0;;2025;HLI_Hardcoal;EE;0;0;#DIV/0!
2030;HLI_Hardcoal;EE;0;;2030;HLI_Hardcoal;EE;0;0;#DIV/0!
2035;HLI_Hardcoal;EE;0;;2035;HLI_Hardcoal;EE;0;0;#DIV/0!
2040;HLI_Hardcoal;EE;0;;2040;HLI_Hardcoal;EE;0;0;#DIV/0!
2045;HLI_Hardcoal;EE;0;;2045;HLI_Hardcoal;EE;0;0;#DIV/0!
2050;HLI_Hardcoal;EE;0;;2050;HLI_Hardcoal;EE;0;0;#DIV/0!
2018;HLI_Lignite;EE;0;;2018;HLI_Lignite;EE;0;0;#DIV/0!
2025;HLI_Lignite;EE;0;;2025;HLI_Lignite;EE;0;0;#DIV/0!
2030;HLI_Lignite;EE;0;;2030;HLI_Lignite;EE;0;0;#DIV/0!
2035;HLI_Lignite;EE;0;;2035;HLI_Lignite;EE;0;0;#DIV/0!
2040;HLI_Lignite;EE;0;;2040;HLI_Lignite;EE;0;0;#DIV/0!
2045;HLI_Lignite;EE;0;;2045;HLI_Lignite;EE;0;0;#DIV/0!
2050;HLI_Lignite;EE;0;;2050;HLI_Lignite;EE;0;0;#DIV/0!
2018;HLI_Oil_Boiler;EE;0;;2018;HLI_Oil_Boiler;EE;0;0;#DIV/0!
