x1;x2;x3;y;;x1;x2;x3;y;diff;
2025;CHP_Coal_Lignite_CCS;AT;0;;2025;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2030;CHP_Coal_Lignite_CCS;AT;0;;2030;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2035;CHP_Coal_Lignite_CCS;AT;0;;2035;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2040;CHP_Coal_Lignite_CCS;AT;0;;2040;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2045;CHP_Coal_Lignite_CCS;AT;0;;2045;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2050;CHP_Coal_Lignite_CCS;AT;0;;2050;CHP_Coal_Lignite_CCS;AT;0;0;#DIV/0!
2018;CHP_Gas_CCGT_Biogas;AT;0;;2018;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2025;CHP_Gas_CCGT_Biogas;AT;0;;2025;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2030;CHP_Gas_CCGT_Biogas;AT;0;;2030;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2035;CHP_Gas_CCGT_Biogas;AT;0;;2035;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2040;CHP_Gas_CCGT_Biogas;AT;0;;2040;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2045;CHP_Gas_CCGT_Biogas;AT;0;;2045;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2050;CHP_Gas_CCGT_Biogas;AT;0;;2050;CHP_Gas_CCGT_Biogas;AT;0;0;#DIV/0!
2018;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2018;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2025;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2025;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2030;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2030;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2035;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2035;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2040;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2040;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2045;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2045;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2050;CHP_Gas_CCGT_Biogas_CCS;AT;0;;2050;CHP_Gas_CCGT_Biogas_CCS;AT;0;0;#DIV/0!
2018;CHP_Gas_CCGT_Natural;AT;27,26393604;;2018;CHP_Gas_CCGT_Natural;AT;27,26393604;0;0%
2025;CHP_Gas_CCGT_Natural;AT;3,459319098;;2025;CHP_Gas_CCGT_Natural;AT;4,774452672;-1,315133573;-38%
2030;CHP_Gas_CCGT_Natural;AT;0;;2030;CHP_Gas_CCGT_Natural;AT;0;0;#DIV/0!
2035;CHP_Gas_CCGT_Natural;AT;0;;2035;CHP_Gas_CCGT_Natural;AT;0;0;#DIV/0!
2040;CHP_Gas_CCGT_Natural;AT;0;;2040;CHP_Gas_CCGT_Natural;AT;0;0;#DIV/0!
2045;CHP_Gas_CCGT_Natural;AT;0;;2045;CHP_Gas_CCGT_Natural;AT;0;0;#DIV/0!
2050;CHP_Gas_CCGT_Natural;AT;0;;2050;CHP_Gas_CCGT_Natural;AT;0;0;#DIV/0!
2018;CHP_Gas_CCGT_Natural_CCS;AT;0;;2018;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2025;CHP_Gas_CCGT_Natural_CCS;AT;0;;2025;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2030;CHP_Gas_CCGT_Natural_CCS;AT;0;;2030;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2035;CHP_Gas_CCGT_Natural_CCS;AT;0;;2035;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2040;CHP_Gas_CCGT_Natural_CCS;AT;0;;2040;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2045;CHP_Gas_CCGT_Natural_CCS;AT;0;;2045;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2050;CHP_Gas_CCGT_Natural_CCS;AT;0;;2050;CHP_Gas_CCGT_Natural_CCS;AT;0;0;#DIV/0!
2018;CHP_Gas_CCGT_SynGas;AT;0;;2018;CHP_Gas_CCGT_SynGas;AT;0;0;#DIV/0!
2025;CHP_Gas_CCGT_SynGas;AT;0;;2025;CHP_Gas_CCGT_SynGas;AT;0;0;#DIV/0!
2030;CHP_Gas_CCGT_SynGas;AT;6,918638197;;2030;CHP_Gas_CCGT_SynGas;AT;2,205678107;4,71296009;68%
2035;CHP_Gas_CCGT_SynGas;AT;3,459319098;;2035;CHP_Gas_CCGT_SynGas;AT;2,205678107;1,253640992;36%
2040;CHP_Gas_CCGT_SynGas;AT;6,387303457;;2040;CHP_Gas_CCGT_SynGas;AT;2,565196443;3,822107014;60%
2045;CHP_Gas_CCGT_SynGas;AT;6,156408904;;2045;CHP_Gas_CCGT_SynGas;AT;2,626649234;3,52975967;57%
2050;CHP_Gas_CCGT_SynGas;AT;6,111481215;;2050;CHP_Gas_CCGT_SynGas;AT;2,362639004;3,74884221;61%
2018;CHP_Hydrogen_FuelCell;AT;0;;2018;CHP_Hydrogen_FuelCell;AT;0;0;#DIV/0!
2025;CHP_Hydrogen_FuelCell;AT;0;;2025;CHP_Hydrogen_FuelCell;AT;0;0;#DIV/0!
2030;CHP_Hydrogen_FuelCell;AT;0;;2030;CHP_Hydrogen_FuelCell;AT;9,774277609;-9,774277609;#DIV/0!
2035;CHP_Hydrogen_FuelCell;AT;0;;2035;CHP_Hydrogen_FuelCell;AT;14,66141641;-14,66141641;#DIV/0!
2040;CHP_Hydrogen_FuelCell;AT;0;;2040;CHP_Hydrogen_FuelCell;AT;9,774277609;-9,774277609;#DIV/0!
2045;CHP_Hydrogen_FuelCell;AT;0;;2045;CHP_Hydrogen_FuelCell;AT;9,774277609;-9,774277609;#DIV/0!
2050;CHP_Hydrogen_FuelCell;AT;0;;2050;CHP_Hydrogen_FuelCell;AT;9,774277609;-9,774277609;#DIV/0!
2018;CHP_Oil;AT;0;;2018;CHP_Oil;AT;0;0;#DIV/0!
2025;CHP_Oil;AT;0;;2025;CHP_Oil;AT;0;0;#DIV/0!
2030;CHP_Oil;AT;0;;2030;CHP_Oil;AT;0;0;#DIV/0!
2035;CHP_Oil;AT;0;;2035;CHP_Oil;AT;0;0;#DIV/0!
2040;CHP_Oil;AT;0;;2040;CHP_Oil;AT;0;0;#DIV/0!
2045;CHP_Oil;AT;0;;2045;CHP_Oil;AT;0;0;#DIV/0!
2050;CHP_Oil;AT;0;;2050;CHP_Oil;AT;0;0;#DIV/0!
